Nombre espacio, Area(m2)
"P03_E09", 144.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
0, 0, -0.398, -0.000, 0.000, 0.000, -0.114, -2.476, 1.314, 0.927, -0.684, 1.432, -0.000, 18.30
0, 0, -0.339, -0.000, 0.000, 0.000, -0.099, -2.143, 1.238, 0.879, -0.676, 1.139, -0.000, 18.19
0, 0, -0.305, -0.000, 0.000, 0.000, -0.091, -1.982, 1.170, 0.834, -0.710, 1.084, -0.000, 18.08
0, 0, -0.271, -0.000, 0.000, 0.000, -0.081, -1.771, 1.107, 0.792, -0.703, 0.928, -0.000, 17.99
0, 0, -0.254, -0.000, 0.000, 0.000, -0.078, -1.690, 1.049, 0.751, -0.738, 0.959, -0.000, 17.89
0, 0, -0.230, -0.000, 0.000, 0.000, -0.070, -1.533, 0.995, 0.713, -0.732, 0.857, -0.000, 17.80
0, 0, -0.220, -0.000, 0.000, 0.000, -0.068, -1.487, 0.943, 0.677, -0.767, 0.921, -0.000, 17.71
0, 0, -0.209, -0.000, 0.000, 0.000, -0.066, -1.433, 0.895, 0.643, -0.802, 0.971, 0.000, 17.62
0, 0, -0.190, -0.000, 0.000, 0.000, -0.059, -1.297, 0.850, 0.611, -0.796, 0.881, 0.000, 17.53
1, 1, -1.999, -0.000, 0.000, 0.000, -0.633, -13.839, 0.807, 5.249, -12.340, -24.726, -47.482, 20.00
1, 1, -1.938, -0.000, 0.000, 0.000, -0.610, -13.357, 0.766, 5.455, -12.340, 0.000, -22.024, 20.00
1, 1, -1.903, -0.000, 0.000, 0.000, -0.595, -13.025, 0.766, 5.604, -12.340, 0.000, -21.493, 20.00
1, 1, -1.882, -0.000, 0.000, 0.000, -0.580, -12.696, 1.043, 5.725, -12.340, 0.000, -20.731, 20.00
1, 1, -1.880, -0.000, 0.000, 0.000, -0.550, -12.005, 1.546, 5.830, -11.308, 0.000, -18.367, 20.00
1, 1, -1.867, -0.000, 0.000, 0.000, -0.538, -11.726, 1.744, 5.927, -11.308, 0.000, -17.768, 20.00
1, 1, -1.858, -0.000, 0.000, 0.000, -0.521, -11.342, 1.788, 6.016, -10.795, 0.000, -16.712, 20.00
1, 1, -1.843, -0.000, 0.000, 0.000, -0.511, -11.122, 1.860, 6.100, -10.795, 0.000, -16.312, 20.00
0, 0, -1.264, -0.000, 0.000, 0.000, -0.349, -7.609, 1.736, 1.510, -0.842, 6.818, 0.000, 19.32
0, 0, -0.927, -0.000, 0.000, 0.000, -0.250, -5.440, 1.864, 1.349, -0.770, 4.173, 0.000, 18.90
0, 0, -0.712, -0.000, 0.000, 0.000, -0.196, -4.272, 1.617, 1.243, -0.789, 3.109, 0.000, 18.59
0, 0, -0.552, -0.000, 0.000, 0.000, -0.154, -3.358, 1.148, 1.162, -0.771, 2.524, 0.000, 18.34
0, 0, -0.441, -0.000, 0.000, 0.000, -0.126, -2.753, 0.868, 1.094, -0.797, 2.154, 0.000, 18.12
0, 0, -0.355, -0.000, 0.000, 0.000, -0.102, -2.230, 0.772, 1.034, -0.785, 1.666, -0.000, 17.96
0, 0, -0.296, -0.000, 0.000, 0.000, -0.085, -1.869, 0.723, 0.979, -0.775, 1.323, 0.000, 17.82
0, 0, -0.255, -0.000, 0.000, 0.000, -0.074, -1.616, 0.682, 0.927, -0.767, 1.102, 0.000, 17.71
0, 0, -0.226, -0.000, 0.000, 0.000, -0.065, -1.432, 0.645, 0.879, -0.760, 0.959, 0.000, 17.62
0, 0, -0.213, -0.000, 0.000, 0.000, -0.063, -1.371, 0.611, 0.834, -0.795, 0.996, -0.000, 17.52
0, 0, -0.191, -0.000, 0.000, 0.000, -0.056, -1.232, 0.580, 0.792, -0.788, 0.897, 0.000, 17.43
0, 0, -0.175, -0.000, 0.000, 0.000, -0.051, -1.124, 0.550, 0.751, -0.782, 0.830, -0.000, 17.34
0, 0, -0.161, -0.000, 0.000, 0.000, -0.047, -1.035, 0.522, 0.713, -0.777, 0.785, -0.000, 17.27
0, 0, -0.140, -0.000, 0.000, 0.000, -0.040, -0.884, 0.495, 0.677, -0.730, 0.622, -0.000, 17.20
0, 0, -0.135, -0.000, 0.000, 0.000, -0.039, -0.849, 0.470, 0.643, -0.725, 0.634, -0.000, 17.14
0, 0, -0.130, -0.000, 0.000, 0.000, -0.037, -0.810, 0.447, 0.611, -0.720, 0.640, -0.000, 17.08
1, 1, -2.434, -0.000, 0.000, 0.000, -0.689, -15.119, 0.424, 0.580, -0.934, -29.233, -47.404, 20.00
1, 1, -2.339, -0.000, 0.000, 0.000, -0.660, -14.481, 0.403, 0.551, -0.934, 0.000, -17.459, 20.00
1, 1, -2.275, -0.000, 0.000, 0.000, -0.639, -14.031, 0.421, 0.523, -0.934, 0.000, -16.935, 20.00
1, 1, -2.224, -0.000, 0.000, 0.000, -0.623, -13.686, 0.406, 0.497, -0.934, 0.000, -16.564, 20.00
1, 1, -2.197, -0.000, 0.000, 0.000, -0.595, -13.034, 1.087, 0.472, -0.892, 0.000, -15.158, 20.00
1, 1, -2.186, -0.000, 0.000, 0.000, -0.557, -12.116, 2.180, 0.449, -0.808, 0.000, -13.038, 20.00
