BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR
SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto
ConsumoACS,ConsumoCAL,ConsumoREF,Energía Suministrada,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Consumo horario en W asociado a refrigeración,Energía Suministrada en W,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración
Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad
498.20 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 2603.27 ,  0.00 , 3595.92 ,  0.00 , 2843.03 ,  0.00 , 7160.20 ,  0.00 , 2931.18 ,  0.00 , 8090.45 ,  0.00 , 2977.80 ,  0.00 , 8544.49 
398.23 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
298.67 ,  0.00 ,  0.00 , 1076.94 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
398.23 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
400.00 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
503.58 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
710.14 ,  0.00 ,  0.00 , 2512.85 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
616.06 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
621.92 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
523.31 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
530.64 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
108.22 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
112.66 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
334.23 ,  0.00 ,  0.00 , 1076.94 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
1085.58 ,  0.00 ,  0.00 , 3589.78 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
741.39 ,  0.00 ,  0.00 , 2512.85 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 2101.19 ,  0.00 , 603.11 ,  0.00 , 2102.95 ,  0.00 , 880.35 ,  0.00 , 2100.70 ,  0.00 , 379.23 
726.99 ,  0.00 ,  0.00 , 2512.85 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 2244.11 ,  0.00 , 1810.65 ,  0.00 , 2250.91 ,  0.00 , 2125.10 ,  0.00 , 2243.75 ,  0.00 , 1788.04 
610.35 ,  0.00 ,  0.00 , 2153.87 ,  0.00 , 2366.41 ,  0.00 , 828.63 ,  0.00 , 2385.50 ,  0.00 , 2210.07 ,  0.00 , 2404.32 ,  0.00 , 2894.61 ,  0.00 , 2386.09 ,  0.00 , 2236.03 
599.42 ,  0.00 ,  0.00 , 2153.87 ,  0.00 , 2538.32 ,  0.00 , 2788.85 ,  0.00 , 2633.20 ,  0.00 , 4810.01 ,  0.00 , 2676.29 ,  0.00 , 5478.00 ,  0.00 , 2657.95 ,  0.00 , 5203.56 
496.02 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 2726.69 ,  0.00 , 5114.99 ,  0.00 , 2905.35 ,  0.00 , 7320.44 ,  0.00 , 2916.19 ,  0.00 , 7433.65 ,  0.00 , 2947.82 ,  0.00 , 7755.21 
490.49 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 3071.60 ,  0.00 , 7707.43 ,  0.00 , 3295.30 ,  0.00 , 9610.98 ,  0.00 , 3290.72 ,  0.00 , 9575.61 ,  0.00 , 3353.39 ,  0.00 , 10050.55 
390.73 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
291.82 ,  0.00 ,  0.00 , 1076.94 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
387.77 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
390.37 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
489.59 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
691.90 ,  0.00 ,  0.00 , 2512.85 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
597.21 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
601.45 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
505.75 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
509.47 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
103.05 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
104.54 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
308.83 ,  0.00 ,  0.00 , 1076.94 ,  0.00 , 2199.31 ,  0.00 , 3494.35 ,  0.00 , 2321.58 ,  0.00 , 6165.50 ,  0.00 , 2394.22 ,  0.00 , 7310.19 ,  0.00 , 2311.72 ,  0.00 , 5992.78 
1009.56 ,  0.00 ,  0.00 , 3589.78 ,  0.00 , 2282.60 ,  0.00 , 3036.46 ,  0.00 , 2328.63 ,  0.00 , 4313.13 ,  0.00 , 2337.78 ,  0.00 , 4521.96 ,  0.00 , 2321.83 ,  0.00 , 4151.09 
696.04 ,  0.00 ,  0.00 , 2512.85 ,  0.00 , 2475.76 ,  0.00 , 5277.40 ,  0.00 , 2677.75 ,  0.00 , 8154.09 ,  0.00 , 2711.62 ,  0.00 , 8544.43 ,  0.00 , 2662.67 ,  0.00 , 7973.06 
687.05 ,  0.00 ,  0.00 , 2512.85 ,  0.00 , 2733.24 ,  0.00 , 7469.53 ,  0.00 , 2995.55 ,  0.00 , 10194.16 ,  0.00 , 3010.81 ,  0.00 , 10331.16 ,  0.00 , 2977.58 ,  0.00 , 10026.79 
580.05 ,  0.00 ,  0.00 , 2153.87 ,  0.00 , 3179.55 ,  0.00 , 10256.08 ,  0.00 , 3475.43 ,  0.00 , 12533.83 ,  0.00 , 3493.51 ,  0.00 , 12662.02 ,  0.00 , 3465.21 ,  0.00 , 12455.38 
574.86 ,  0.00 ,  0.00 , 2153.87 ,  0.00 , 3612.51 ,  0.00 , 12376.82 ,  0.00 , 4049.31 ,  0.00 , 15097.93 ,  0.00 , 4109.02 ,  0.00 , 15442.29 ,  0.00 , 4092.19 ,  0.00 , 15335.22 
474.09 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 4235.24 ,  0.00 , 15027.80 ,  0.00 , 4731.67 ,  0.00 , 17574.26 ,  0.00 , 4746.17 ,  0.00 , 17646.83 ,  0.00 , 4748.56 ,  0.00 , 17651.43 
472.61 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 4713.76 ,  0.00 , 16729.99 ,  0.00 , 5230.30 ,  0.00 , 19114.62 ,  0.00 , 5245.07 ,  0.00 , 19182.32 ,  0.00 , 5265.36 ,  0.00 , 19266.27 
375.74 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
282.91 ,  0.00 ,  0.00 , 1076.94 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
377.21 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
375.74 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
470.76 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
663.22 ,  0.00 ,  0.00 , 2512.85 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
573.04 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
581.08 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
488.31 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
495.09 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
100.25 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
108.54 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
322.26 ,  0.00 ,  0.00 , 1076.94 ,  0.00 , 2375.73 ,  0.00 , 9540.43 ,  0.00 , 2717.29 ,  0.00 , 13288.25 ,  0.00 , 2878.21 ,  0.00 , 14780.39 ,  0.00 , 2745.93 ,  0.00 , 13563.26 
1057.99 ,  0.00 ,  0.00 , 3589.78 ,  0.00 , 2182.23 ,  0.00 , 4809.21 ,  0.00 , 2207.98 ,  0.00 , 5344.84 ,  0.00 , 2216.81 ,  0.00 , 5518.88 ,  0.00 , 2180.46 ,  0.00 , 4752.17 
724.83 ,  0.00 ,  0.00 , 2512.85 ,  0.00 , 2547.23 ,  0.00 , 8332.26 ,  0.00 , 2705.47 ,  0.00 , 10083.95 ,  0.00 , 2728.73 ,  0.00 , 10318.96 ,  0.00 , 2663.23 ,  0.00 , 9643.86 
708.12 ,  0.00 ,  0.00 , 2512.85 ,  0.00 , 2992.92 ,  0.00 , 10721.04 ,  0.00 , 3180.63 ,  0.00 , 12268.93 ,  0.00 , 3206.08 ,  0.00 , 12466.05 ,  0.00 , 3150.45 ,  0.00 , 12030.56 
599.92 ,  0.00 ,  0.00 , 2153.87 ,  0.00 , 3272.46 ,  0.00 , 11825.93 ,  0.00 , 3499.14 ,  0.00 , 13457.39 ,  0.00 , 3555.21 ,  0.00 , 13835.27 ,  0.00 , 3533.40 ,  0.00 , 13685.51 
593.12 ,  0.00 ,  0.00 , 2153.87 ,  0.00 , 3694.69 ,  0.00 , 13614.00 ,  0.00 , 4049.19 ,  0.00 , 15748.99 ,  0.00 , 4081.56 ,  0.00 , 15934.36 ,  0.00 , 4050.26 ,  0.00 , 15752.40 
488.80 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 4258.11 ,  0.00 , 15777.33 ,  0.00 , 4621.08 ,  0.00 , 17654.58 ,  0.00 , 4650.38 ,  0.00 , 17801.28 ,  0.00 , 4634.56 ,  0.00 , 17719.43 
486.36 ,  0.00 ,  0.00 , 1794.89 ,  0.00 , 4658.33 ,  0.00 , 17066.54 ,  0.00 , 5063.98 ,  0.00 , 18985.25 ,  0.00 , 5093.76 ,  0.00 , 19122.22 ,  0.00 , 5094.01 ,  0.00 , 19120.24 
388.12 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
289.89 ,  0.00 ,  0.00 , 1076.94 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
385.87 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
388.12 ,  0.00 ,  0.00 , 1435.91 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
488.41 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
692.63 ,  0.00 ,  0.00 , 2512.85 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
597.84 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
604.81 ,  0.00 ,  0.00 , 2153.87 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
511.95 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
517.80 ,  0.00 ,  0.00 , 1794.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
105.50 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
111.41 ,  0.00 ,  0.00 , 358.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
332.40 ,  0.00 ,  0.00 , 1076.94 ,  0.00 , 2295.71 ,  0.00 , 10020.04 ,  0.00 , 2653.00 ,  0.00 , 13932.68 ,  0.00 , 2808.31 ,  0.00 , 15382.00 ,  0.00 , 2715.23 ,  0.00 , 14526.34 
