835.48 ,  0.00 , 835.48 , 375.56 ,  0.00 , 741.22 ,  0.00 
584.83 ,  0.00 , 584.83 , 306.33 ,  0.00 , 537.84 ,  0.00 
584.83 ,  0.00 , 584.83 , 260.81 ,  0.00 , 432.78 ,  0.00 
501.29 ,  0.00 , 501.29 , 197.23 ,  0.00 , 260.02 ,  0.00 
501.29 ,  0.00 , 501.29 , 157.76 ,  0.00 , 150.67 ,  0.00 
417.74 ,  0.00 , 417.74 , 135.95 ,  0.00 , 88.99 ,  0.00 
417.74 ,  0.00 , 417.74 , 129.33 ,  0.00 , 70.95 ,  0.00 
334.19 ,  0.00 , 334.19 , 124.54 ,  0.00 , 58.46 ,  0.00 
250.64 ,  0.00 , 250.64 , 124.50 ,  0.00 , 58.32 ,  0.00 
334.19 ,  0.00 , 334.19 , 128.91 ,  0.00 , 69.55 ,  0.00 
334.19 ,  0.00 , 334.19 , 142.94 ,  0.00 , 107.57 ,  0.00 
417.74 ,  0.00 , 417.74 , 159.12 ,  0.00 , 157.45 ,  0.00 
584.83 ,  0.00 , 584.83 , 150.76 ,  0.00 , 132.56 ,  0.00 
501.29 ,  0.00 , 501.29 , 154.41 ,  0.00 , 139.26 ,  0.00 
501.29 ,  0.00 , 501.29 , 158.53 ,  0.00 , 152.52 ,  0.00 
417.74 ,  0.00 , 417.74 , 167.04 ,  0.00 , 174.01 ,  0.00 
