Nombre espacio, Area(m2)
"P03_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 1, -2.496, -0.115, -3.899, 0.000, -4.686, -3.333, 0.393, 3.407, -2.757, -31.939, -45.423, 20.00
1, 1, -2.387, -0.102, -3.732, 0.000, -4.481, -3.183, 0.431, 3.382, -2.757, 0.000, -12.828, 20.00
1, 1, -2.277, -0.094, -3.641, 0.000, -4.265, -2.985, 0.800, 3.358, -2.649, 0.000, -11.754, 20.00
1, 1, -2.144, -0.089, -3.579, 0.000, -3.987, -2.655, 1.918, 3.336, -2.542, 0.000, -9.742, 20.00
1, 1, -1.855, -0.085, -3.523, 0.000, -3.389, -1.775, 5.127, 3.316, -2.224, 0.000, -4.409, 20.00
1, 1, -1.763, -0.081, -3.477, 0.000, -3.217, -1.758, 4.572, 3.297, -2.014, 0.000, -4.441, 20.00
1, 1, -1.772, -0.076, -3.446, 0.000, -3.255, -1.928, 3.667, 3.279, -2.014, 0.000, -5.544, 20.00
1, 1, -1.685, -0.073, -3.409, 0.000, -3.088, -1.776, 4.056, 3.263, -1.909, 0.000, -4.621, 20.00
1, 1, -1.682, -0.070, -3.384, 0.000, -3.097, -1.844, 3.537, 3.536, -1.909, 0.000, -4.914, 20.00
1, 1, -1.766, -0.067, -3.372, 0.000, -3.285, -2.127, 2.167, 3.545, -2.014, 0.000, -6.918, 20.00
1, 1, -1.820, -0.064, -3.356, 0.000, -3.405, -2.293, 1.433, 3.548, -2.119, 0.000, -8.075, 20.00
1, 1, -1.856, -0.062, -3.336, 0.000, -3.478, -2.381, 1.119, 4.486, -2.224, 0.000, -7.731, 20.00
1, 1, -1.855, -0.060, -3.311, 0.000, -3.480, -2.396, 0.998, 6.905, -2.224, 0.000, -5.422, 20.00
1, 1, -1.882, -0.058, -3.288, 0.000, -3.531, -2.444, 0.909, 7.145, -2.330, 0.000, -5.478, 20.00
1, 1, -1.913, -0.056, -3.266, 0.000, -3.590, -2.496, 0.837, 7.310, -2.436, 0.000, -5.611, 20.00
1, 1, -1.916, -0.054, -3.242, 0.000, -3.598, -2.509, 0.777, 7.439, -2.436, 0.000, -5.539, 20.00
1, 0, -1.645, -0.031, -2.724, 0.000, -3.089, -2.161, 0.724, 5.776, -2.474, 5.623, 0.000, 19.63
1, 0, -1.358, -0.016, -2.229, 0.000, -2.551, -1.789, 0.678, 3.851, -2.403, 5.817, 0.000, 19.24
1, 0, -1.183, -0.009, -1.873, 0.000, -2.222, -1.563, 0.636, 3.686, -2.554, 5.081, 0.000, 18.90
1, 0, -1.052, -0.005, -1.603, 0.000, -1.973, -1.392, 0.599, 3.586, -2.713, 4.553, -0.000, 18.59
1, 0, -0.950, -0.003, -1.393, 0.000, -1.781, -1.260, 0.565, 3.515, -2.879, 4.186, 0.000, 18.32
1, 0, -0.870, -0.001, -1.228, 0.000, -1.630, -1.156, 0.534, 3.459, -3.048, 3.942, -0.000, 18.05
1, 0, -0.788, -0.000, -1.085, 0.000, -1.476, -1.049, 0.505, 3.412, -3.113, 3.593, 0.000, 17.81
1, 0, -0.738, 0.001, -0.981, 0.000, -1.381, -0.984, 0.479, 3.372, -3.290, 3.521, 0.000, 17.58
1, 1, -3.040, -0.069, -3.904, 0.000, -5.690, -4.061, 0.456, 3.414, -3.967, -36.317, -53.179, 20.00
1, 1, -2.931, -0.061, -3.740, 0.000, -5.479, -3.888, 0.650, 3.389, -3.967, 0.000, -16.027, 20.00
1, 1, -2.703, -0.057, -3.662, 0.000, -5.010, -3.371, 2.168, 3.364, -3.631, 0.000, -12.901, 20.00
1, 0, -2.169, -0.057, -3.631, 0.000, -3.927, -1.239, 10.767, 3.342, -3.081, -0.004, -0.000, 20.00
1, 0, -2.016, -0.062, -3.773, 0.000, -3.604, -0.786, 11.206, 3.321, -2.669, -1.618, -0.000, 20.11
1, 0, -1.895, -0.071, -3.890, 0.000, -3.332, -0.655, 10.536, 3.302, -2.369, -1.625, -0.000, 20.22
1, 0, -1.756, -0.083, -3.890, 0.000, -3.066, -0.891, 9.497, 3.285, -2.065, -1.031, 0.000, 20.29
1, 0, -1.578, -0.090, -3.851, 0.000, -2.910, -1.095, 8.692, 3.269, -1.967, -0.469, -0.000, 20.32
1, 0, -1.483, -0.088, -3.763, 0.000, -2.864, -1.248, 7.664, 3.541, -1.964, 0.206, -0.000, 20.30
1, 0, -1.473, -0.070, -3.514, 0.000, -2.909, -1.460, 6.193, 3.550, -2.151, 1.834, 0.000, 20.18
1, 1, -1.731, -0.041, -3.275, 0.000, -3.236, -1.901, 3.916, 3.553, -2.330, 2.708, -2.337, 20.00
1, 1, -1.899, -0.033, -3.335, 0.000, -3.563, -2.261, 2.691, 4.491, -2.542, 0.000, -6.451, 20.00
1, 1, -1.964, -0.033, -3.327, 0.000, -3.686, -2.396, 2.270, 6.910, -2.649, 0.000, -4.874, 20.00
1, 1, -2.015, -0.032, -3.309, 0.000, -3.781, -2.493, 2.035, 7.150, -2.757, 0.000, -5.202, 20.00
1, 1, -2.092, -0.032, -3.289, 0.000, -3.923, -2.619, 1.850, 7.314, -2.973, 0.000, -5.763, 20.00
1, 1, -2.142, -0.031, -3.266, 0.000, -4.017, -2.705, 1.697, 7.443, -3.081, 0.000, -6.103, 20.00
1, 0, -1.845, -0.018, -2.730, 0.000, -3.458, -2.346, 1.565, 5.780, -3.114, 6.166, -0.000, 19.59
1, 0, -1.549, -0.010, -2.230, 0.000, -2.904, -1.984, 1.450, 3.855, -3.143, 6.515, 0.000, 19.15
1, 0, -1.329, -0.005, -1.863, 0.000, -2.491, -1.711, 1.347, 3.690, -3.184, 5.546, 0.000, 18.78
1, 0, -1.161, -0.003, -1.587, 0.000, -2.176, -1.502, 1.255, 3.590, -3.234, 4.820, -0.000, 18.46
1, 0, -1.047, -0.002, -1.382, 0.000, -1.961, -1.361, 1.172, 3.518, -3.400, 4.462, 0.000, 18.17
1, 0, -0.940, -0.001, -1.213, 0.000, -1.760, -1.227, 1.097, 3.462, -3.460, 4.042, -0.000, 17.90
1, 0, -0.855, -0.000, -1.079, 0.000, -1.600, -1.119, 1.029, 3.416, -3.525, 3.733, -0.000, 17.65
1, 0, -0.785, -0.000, -0.972, 0.000, -1.469, -1.031, 0.967, 3.375, -3.593, 3.507, 0.000, 17.41
1, 1, -3.259, -0.040, -3.962, 0.000, -6.098, -4.290, 0.910, 3.417, -4.193, -38.791, -56.306, 20.00
1, 1, -3.130, -0.036, -3.800, 0.000, -5.847, -4.221, 1.074, 3.392, -4.193, 0.000, -16.760, 20.00
1, 1, -2.789, -0.034, -3.747, 0.000, -5.157, -3.004, 5.928, 3.368, -3.855, 0.000, -9.290, 20.00
1, 1, -2.482, -0.033, -3.710, 0.000, -4.532, -2.141, 8.638, 3.345, -3.410, 0.000, -4.325, 20.00
1, 1, -2.182, -0.032, -3.682, 0.000, -3.926, -1.381, 10.444, 3.324, -2.973, 0.000, -0.408, 20.00
1, 0, -1.984, -0.036, -3.787, 0.000, -3.503, -0.939, 10.773, 3.305, -2.558, -1.272, -0.000, 20.08
1, 0, -1.827, -0.043, -3.793, 0.000, -3.197, -1.088, 9.921, 3.288, -2.252, -1.008, -0.000, 20.15
1, 0, -1.634, -0.047, -3.745, 0.000, -3.033, -1.306, 8.931, 3.271, -2.150, -0.288, -0.000, 20.17
1, 0, -1.506, -0.048, -3.701, 0.000, -2.924, -1.383, 8.086, 3.543, -2.045, -0.022, 0.000, 20.17
1, 0, -1.478, -0.040, -3.509, 0.000, -2.935, -1.559, 6.614, 3.553, -2.132, 1.486, -0.000, 20.07
1, 1, -1.879, -0.025, -3.473, 0.000, -3.515, -2.177, 4.153, 3.555, -2.436, 1.104, -4.692, 20.00
1, 1, -2.041, -0.020, -3.515, 0.000, -3.832, -2.543, 2.911, 4.493, -2.649, 0.000, -7.197, 20.00
1, 1, -2.095, -0.020, -3.500, 0.000, -3.933, -2.585, 2.532, 6.912, -2.757, 0.000, -5.445, 20.00
1, 1, -2.141, -0.019, -3.479, 0.000, -4.018, -2.668, 2.292, 7.152, -2.864, 0.000, -5.745, 20.00
1, 1, -2.185, -0.019, -3.453, 0.000, -4.100, -2.745, 2.103, 7.317, -2.973, 0.000, -6.054, 20.00
1, 1, -2.226, -0.018, -3.427, 0.000, -4.176, -2.817, 1.945, 7.445, -3.081, 0.000, -6.355, 20.00
1, 0, -1.932, -0.011, -2.859, 0.000, -3.622, -2.462, 1.808, 5.783, -3.219, 6.514, -0.000, 19.57
1, 0, -1.621, -0.006, -2.335, 0.000, -3.039, -2.077, 1.687, 3.857, -3.245, 6.780, -0.000, 19.11
1, 0, -1.390, -0.003, -1.951, 0.000, -2.604, -1.789, 1.578, 3.692, -3.284, 5.750, -0.000, 18.73
1, 0, -1.213, -0.002, -1.664, 0.000, -2.274, -1.569, 1.481, 3.592, -3.332, 4.981, -0.000, 18.40
1, 0, -1.094, -0.001, -1.450, 0.000, -2.049, -1.421, 1.393, 3.520, -3.497, 4.599, 0.000, 18.09
1, 0, -0.983, -0.001, -1.273, 0.000, -1.840, -1.280, 1.312, 3.464, -3.556, 4.156, -0.000, 17.81
1, 0, -0.893, -0.000, -1.133, 0.000, -1.672, -1.168, 1.239, 3.418, -3.620, 3.830, -0.000, 17.56
1, 0, -0.819, -0.000, -1.021, 0.000, -1.533, -1.074, 1.172, 3.377, -3.687, 3.584, -0.000, 17.32
1, 1, -3.418, -0.023, -4.138, 0.000, -6.391, -4.491, 1.111, 4.279, -4.421, -40.196, -57.688, 20.00
1, 1, -3.257, -0.021, -3.970, 0.000, -6.086, -4.392, 1.216, 4.324, -4.306, 0.000, -16.493, 20.00
1, 1, -2.885, -0.020, -3.925, 0.000, -5.319, -2.841, 7.787, 4.346, -4.080, 0.000, -6.937, 20.00
1, 1, -2.520, -0.020, -3.896, 0.000, -4.579, -1.790, 11.043, 4.359, -3.521, 0.000, -0.924, 20.00
1, 0, -2.350, -0.022, -4.098, 0.000, -4.205, -1.104, 12.522, 4.367, -3.106, -2.004, -0.000, 20.13
1, 0, -2.211, -0.025, -4.263, 0.000, -3.897, -0.946, 11.723, 4.373, -2.699, -2.056, 0.000, 20.27
1, 0, -2.084, -0.029, -4.247, 0.000, -3.648, -1.289, 10.494, 4.378, -2.498, -1.077, -0.000, 20.34
1, 0, -1.854, -0.031, -4.205, 0.000, -3.434, -1.521, 9.410, 4.382, -2.292, -0.454, -0.000, 20.37
1, 0, -1.739, -0.030, -4.115, 0.000, -3.354, -1.635, 8.490, 4.385, -2.288, 0.287, 0.000, 20.35
1, 0, -1.712, -0.025, -3.879, 0.000, -3.359, -1.798, 6.974, 4.387, -2.372, 1.784, -0.000, 20.23
1, 1, -1.959, -0.015, -3.541, 0.000, -3.655, -2.243, 4.558, 4.389, -2.649, 3.519, -1.595, 20.00
1, 1, -2.136, -0.011, -3.610, 0.000, -4.000, -2.628, 3.300, 5.329, -2.864, 0.000, -6.622, 20.00
1, 1, -2.200, -0.011, -3.603, 0.000, -4.123, -2.689, 2.851, 7.751, -2.973, 0.000, -4.996, 20.00
1, 1, -2.218, -0.011, -3.584, 0.000, -4.156, -2.736, 2.590, 7.994, -2.973, 0.000, -5.092, 20.00
1, 1, -2.261, -0.011, -3.562, 0.000, -4.236, -2.814, 2.384, 8.162, -3.081, 0.000, -5.420, 20.00
1, 1, -2.302, -0.011, -3.538, 0.000, -4.313, -2.888, 2.210, 8.294, -3.191, 0.000, -5.739, 20.00
1, 0, -1.988, -0.006, -2.979, 0.000, -3.724, -2.511, 2.059, 6.061, -3.222, 6.311, -0.000, 19.58
1, 0, -1.679, -0.004, -2.457, 0.000, -3.144, -2.133, 1.925, 4.092, -3.249, 6.649, 0.000, 19.14
1, 0, -1.449, -0.002, -2.071, 0.000, -2.712, -1.851, 1.805, 3.899, -3.289, 5.670, -0.000, 18.76
1, 0, -1.255, -0.001, -1.776, 0.000, -2.351, -1.611, 1.697, 3.778, -3.230, 4.750, -0.000, 18.44
1, 0, -1.122, -0.001, -1.558, 0.000, -2.102, -1.446, 1.599, 3.690, -3.288, 4.228, -0.000, 18.16
1, 0, -1.019, -0.001, -1.387, 0.000, -1.908, -1.318, 1.509, 3.619, -3.350, 3.854, 0.000, 17.90
1, 0, -0.935, -0.000, -1.250, 0.000, -1.749, -1.213, 1.427, 3.560, -3.417, 3.576, -0.000, 17.66
1, 0, -0.867, -0.000, -1.138, 0.000, -1.622, -1.129, 1.352, 3.509, -3.486, 3.380, 0.000, 17.44
1, 1, -3.295, -0.013, -4.256, 0.000, -6.162, -4.301, 1.284, 4.402, -4.080, -38.418, -54.840, 20.00
1, 1, -3.134, -0.012, -4.086, 0.000, -5.857, -4.196, 1.382, 4.438, -3.967, 0.000, -15.432, 20.00
1, 1, -2.702, -0.012, -4.046, 0.000, -4.973, -2.447, 8.659, 4.453, -3.631, 0.000, -4.700, 20.00
1, 0, -2.364, -0.011, -4.008, 0.000, -4.290, -1.601, 10.909, 4.459, -3.082, -0.013, 0.000, 20.00
1, 1, -2.271, -0.011, -3.951, 0.000, -4.111, -1.798, 8.936, 4.462, -2.864, 0.013, -1.595, 20.00
1, 1, -2.203, -0.010, -3.910, 0.000, -3.988, -2.021, 7.321, 4.463, -2.649, 0.000, -2.997, 20.00
1, 1, -2.173, -0.010, -3.881, 0.000, -3.934, -2.116, 6.829, 4.463, -2.649, 0.000, -3.470, 20.00
1, 1, -2.027, -0.009, -3.858, 0.000, -3.693, -1.948, 7.282, 4.463, -2.542, 0.000, -2.332, 20.00
1, 1, -1.846, -0.009, -3.831, 0.000, -3.457, -1.836, 7.406, 4.463, -2.436, 0.000, -1.546, 20.00
1, 1, -1.821, -0.009, -3.810, 0.000, -3.514, -2.017, 6.374, 4.462, -2.542, 0.000, -2.876, 20.00
1, 1, -2.163, -0.008, -3.797, 0.000, -4.025, -2.564, 4.120, 4.462, -2.757, 0.000, -6.733, 20.00
1, 1, -2.258, -0.008, -3.778, 0.000, -4.223, -2.849, 2.875, 5.399, -2.864, 0.000, -7.707, 20.00
1, 1, -2.301, -0.007, -3.755, 0.000, -4.304, -2.868, 2.524, 7.819, -2.973, 0.000, -5.866, 20.00
1, 1, -2.307, -0.007, -3.729, 0.000, -4.319, -2.896, 2.306, 8.060, -2.973, 0.000, -5.865, 20.00
1, 1, -2.340, -0.007, -3.702, 0.000, -4.380, -2.956, 2.134, 8.225, -3.081, 0.000, -6.107, 20.00
1, 1, -2.343, -0.007, -3.674, 0.000, -4.386, -2.974, 1.990, 8.356, -3.081, 0.000, -6.120, 20.00
1, 0, -2.011, -0.004, -3.088, 0.000, -3.764, -2.566, 1.865, 6.121, -3.110, 6.556, -0.000, 19.56
