CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets)
 0.00 , 1414.66 , 956.16 
 0.00 , 1628.42 , 1103.17 
 0.00 , 1489.02 , 1007.22 
 0.00 , 1523.21 , 1030.73 
 0.00 , 1551.31 , 1050.05 
 0.00 , 1627.95 , 1102.84 
2528.57 ,  0.00 , 2351.57 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 641.13 , 429.77 
 0.00 , 962.30 , 647.27 
 0.00 , 1039.88 , 700.03 
 0.00 , 1103.21 , 743.17 
 0.00 , 6282.13 , 4480.00 
 0.00 , 2789.22 , 1913.43 
 0.00 , 2652.38 , 1816.85 
 0.00 , 2528.07 , 1729.36 
 0.00 , 2413.65 , 1649.04 
 0.00 , 2117.43 , 1442.02 
 0.00 , 1744.92 , 1183.57 
 0.00 , 1584.70 , 1073.04 
 0.00 , 1670.62 , 1132.27 
 0.00 , 1898.52 , 1289.89 
 0.00 , 2087.71 , 1421.33 
2661.74 , 2042.39 , 3868.59 
 0.00 , 1798.44 , 1220.58 
 0.00 , 1832.72 , 1244.30 
 0.00 , 1822.27 , 1237.06 
 0.00 , 1867.84 , 1268.63 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 452.10 , 302.45 
 0.00 , 1218.79 , 822.04 
 0.00 , 1362.33 , 920.27 
 0.00 , 1489.73 , 1007.71 
 0.00 , 1661.31 , 1125.84 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3487.70 , 2410.93 
 0.00 , 2449.50 , 1674.19 
 0.00 , 2217.34 , 1511.70 
2572.39 , 2461.91 , 4079.99 
 0.00 , 2211.65 , 1507.73 
 0.00 , 1901.38 , 1291.87 
 0.00 , 1569.72 , 1062.73 
 0.00 , 1414.78 , 956.24 
 0.00 , 1953.70 , 1328.17 
 0.00 , 2549.36 , 1744.33 
 0.00 , 2658.18 , 1820.94 
 0.00 , 2426.66 , 1658.17 
 0.00 , 2485.62 , 1699.54 
 0.00 , 2549.23 , 1744.24 
 0.00 , 2504.07 , 1712.50 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 547.43 , 366.60 
 0.00 , 1493.23 , 1010.12 
 0.00 , 1584.77 , 1073.09 
 0.00 , 1657.58 , 1123.27 
 0.00 , 1662.80 , 1126.87 
 0.00 , 1709.48 , 1159.09 
2743.68 , 6235.08 , 7031.62 
 0.00 , 3309.00 , 2282.93 
 0.00 , 2251.17 , 1535.32 
 0.00 , 2037.61 , 1386.47 
 0.00 , 1583.55 , 1072.25 
 0.00 , 1659.35 , 1124.50 
 0.00 , 1849.50 , 1255.92 
 0.00 , 1984.34 , 1349.45 
 0.00 , 2010.50 , 1367.62 
 0.00 , 2061.96 , 1403.41 
 0.00 , 2280.84 , 1556.06 
 0.00 , 2289.77 , 1562.31 
 0.00 , 2030.96 , 1381.85 
 0.00 , 2068.33 , 1407.84 
2645.49 , 2055.79 , 3862.82 
 0.00 , 2054.93 , 1398.52 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1001.79 , 674.12 
 0.00 , 1270.79 , 857.59 
 0.00 , 1346.16 , 909.19 
 0.00 , 1461.99 , 988.65 
 0.00 , 1515.63 , 1025.51 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3114.13 , 2143.90 
 0.00 , 2951.13 , 2028.08 
 0.00 , 2631.15 , 1801.89 
 0.00 , 2343.42 , 1599.84 
 0.00 , 2129.21 , 1450.23 
 0.00 , 2259.81 , 1541.36 
 0.00 , 2286.51 , 1560.03 
2544.93 , 2306.04 , 3944.59 
 0.00 , 2325.19 , 1587.08 
 0.00 , 2406.21 , 1643.83 
 0.00 , 2379.27 , 1624.95 
 0.00 , 2161.45 , 1472.71 
 0.00 , 2138.48 , 1456.69 
 0.00 , 2123.17 , 1446.03 
 0.00 , 2164.06 , 1474.53 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 23.82 , 15.86 
 0.00 , 1286.36 , 868.25 
 0.00 , 1433.12 , 968.83 
 0.00 , 1562.69 , 1057.89 
 0.00 , 1626.63 , 1101.94 
 0.00 , 1733.19 , 1175.47 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3457.70 , 2389.40 
2619.77 , 3276.92 , 4705.17 
 0.00 , 3069.77 , 2112.35 
 0.00 , 2857.46 , 1961.70 
 0.00 , 2695.09 , 1846.96 
 0.00 , 2605.92 , 1784.12 
 0.00 , 2553.48 , 1747.23 
 0.00 , 2554.00 , 1747.59 
 0.00 , 2596.62 , 1777.58 
 0.00 , 2721.22 , 1865.40 
 0.00 , 2687.82 , 1841.83 
 0.00 , 2470.43 , 1688.87 
 0.00 , 2447.49 , 1672.77 
 0.00 , 2431.47 , 1661.54 
 0.00 , 2473.04 , 1690.71 
2528.57 ,  0.00 , 2351.57 
 0.00 ,  0.00 ,  0.00 
 0.00 , 605.69 , 405.86 
 0.00 , 1540.57 , 1042.67 
 0.00 , 1627.72 , 1102.68 
 0.00 , 1696.49 , 1150.12 
 0.00 , 1807.36 , 1226.75 
 0.00 , 1857.75 , 1261.64 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3554.00 , 2458.55 
 0.00 , 2630.11 , 1801.16 
 0.00 , 1775.64 , 1204.81 
 0.00 , 1084.20 , 730.21 
 0.00 , 504.93 , 337.98 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 641.29 , 429.88 
 0.00 , 1440.46 , 973.87 
 0.00 , 1877.38 , 1275.24 
2661.74 , 2044.35 , 3869.96 
 0.00 , 1854.71 , 1259.53 
 0.00 , 1872.56 , 1271.90 
 0.00 , 1941.46 , 1319.68 
 0.00 , 1956.06 , 1329.81 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 634.24 , 425.12 
 0.00 , 1142.94 , 770.26 
 0.00 , 1279.55 , 863.59 
 0.00 , 1349.26 , 911.32 
 0.00 , 1405.86 , 950.12 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3076.34 , 2117.02 
 0.00 , 1885.21 , 1280.66 
 0.00 , 1640.08 , 1111.21 
2572.39 , 1723.14 , 3563.15 
 0.00 , 1778.57 , 1206.83 
 0.00 , 1774.23 , 1203.83 
 0.00 , 1960.28 , 1332.74 
 0.00 , 2165.69 , 1475.67 
 0.00 , 2126.49 , 1448.34 
 0.00 , 2233.35 , 1522.88 
 0.00 , 2223.99 , 1516.34 
 0.00 , 1970.80 , 1340.04 
 0.00 , 1951.91 , 1326.93 
 0.00 , 1939.32 , 1318.19 
 0.00 , 1929.29 , 1311.23 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 339.38 , 226.77 
 0.00 , 983.31 , 661.55 
 0.00 , 1058.53 , 712.73 
 0.00 , 1118.89 , 753.85 
 0.00 , 1168.72 , 787.85 
2743.68 , 6235.08 , 7031.62 
 0.00 , 2835.97 , 1946.49 
 0.00 , 2684.02 , 1839.15 
 0.00 , 2552.54 , 1746.57 
 0.00 , 2342.18 , 1598.97 
 0.00 , 2090.88 , 1423.54 
 0.00 , 1761.04 , 1194.72 
 0.00 , 1597.15 , 1081.62 
 0.00 , 1822.65 , 1237.33 
 0.00 , 1963.78 , 1335.17 
 0.00 , 2054.33 , 1398.10 
 0.00 , 2013.64 , 1369.80 
 0.00 , 1799.27 , 1221.15 
 0.00 , 1777.95 , 1206.41 
2645.49 , 1811.94 , 3692.84 
 0.00 , 1805.87 , 1225.72 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 280.36 , 187.21 
 0.00 , 1081.68 , 728.49 
