CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 2988.55 , 2054.63 
 0.00 , 3385.07 , 2337.35 
 0.00 , 3849.32 , 2671.51 
 0.00 , 3936.85 , 2734.90 
 0.00 , 3732.36 , 2587.00 
 0.00 , 3782.78 , 2623.41 
 0.00 , 3839.12 , 2664.13 
 0.00 , 3788.83 , 2627.78 
2590.58 ,  0.00 , 2409.24 
 0.00 , 1150.16 , 775.18 
 0.00 , 2658.36 , 1821.07 
 0.00 , 2736.92 , 1876.48 
 0.00 , 2797.40 , 1919.21 
 0.00 , 2847.96 , 1954.98 
 0.00 , 2837.27 , 1947.41 
 0.00 , 2874.45 , 1973.73 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4514.82 , 3156.52 
 0.00 , 3603.15 , 2493.90 
 0.00 , 3470.55 , 2398.63 
 0.00 , 3115.06 , 2144.57 
 0.00 , 3170.48 , 2184.05 
 0.00 , 3323.25 , 2293.11 
 0.00 , 3433.35 , 2371.95 
 0.00 , 3454.29 , 2386.96 
2524.24 , 3491.48 , 4770.81 
 0.00 , 3663.47 , 2537.33 
 0.00 , 3653.37 , 2530.05 
 0.00 , 3427.16 , 2367.51 
 0.00 , 3459.79 , 2390.91 
 0.00 , 3448.27 , 2382.65 
 0.00 , 3439.13 , 2376.09 
 0.00 ,  0.00 ,  0.00 
 0.00 , 679.70 , 455.81 
 0.00 , 2444.07 , 1670.38 
 0.00 , 2521.32 , 1724.62 
 0.00 , 2578.84 , 1765.06 
 0.00 , 2625.21 , 1797.71 
 0.00 , 2719.63 , 1864.27 
 0.00 , 2757.26 , 1890.85 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4388.99 , 3064.27 
2621.25 , 4227.06 , 5398.65 
 0.00 , 3991.42 , 2774.47 
 0.00 , 3782.71 , 2623.36 
 0.00 , 3620.93 , 2506.69 
 0.00 , 3691.96 , 2557.86 
 0.00 , 3706.17 , 2568.11 
 0.00 , 3719.89 , 2578.00 
 0.00 , 3725.72 , 2582.21 
 0.00 , 3793.28 , 2630.99 
 0.00 , 3755.74 , 2603.88 
 0.00 , 3571.20 , 2470.91 
 0.00 , 3543.94 , 2451.32 
