CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 4016.36 , 2792.58 
 0.00 , 3864.05 , 2682.17 
 0.00 , 3743.49 , 2595.03 
 0.00 , 3666.54 , 2539.54 
 0.00 , 3632.60 , 2515.10 
 0.00 , 3622.31 , 2507.69 
2524.24 , 3629.27 , 4870.67 
 0.00 , 3734.07 , 2588.23 
 0.00 , 3691.03 , 2557.19 
 0.00 , 3511.78 , 2428.22 
 0.00 , 3485.64 , 2409.46 
 0.00 , 3467.17 , 2396.20 
 0.00 , 3503.96 , 2422.60 
 0.00 ,  0.00 ,  0.00 
 0.00 , 692.15 , 464.22 
 0.00 , 2441.89 , 1668.85 
 0.00 , 2516.77 , 1721.42 
 0.00 , 2572.12 , 1760.34 
 0.00 , 2617.11 , 1792.00 
 0.00 , 2708.20 , 1856.21 
 0.00 , 2744.78 , 1882.03 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4441.93 , 3103.05 
2621.25 , 3665.79 , 4987.88 
 0.00 , 3031.00 , 2084.79 
 0.00 , 2480.22 , 1695.75 
 0.00 , 1967.59 , 1337.81 
 0.00 , 1635.52 , 1108.06 
 0.00 , 1608.30 , 1089.30 
 0.00 , 2233.08 , 1522.69 
 0.00 , 2714.02 , 1860.32 
 0.00 , 3060.61 , 2105.83 
 0.00 , 3169.08 , 2183.05 
 0.00 , 2990.41 , 2055.95 
 0.00 , 2989.87 , 2055.57 
 0.00 , 3040.39 , 2091.46 
 0.00 , 3041.28 , 2092.09 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1868.15 , 1268.84 
 0.00 , 2069.16 , 1408.42 
 0.00 , 2129.61 , 1450.51 
 0.00 , 2230.19 , 1520.67 
 0.00 , 2273.54 , 1550.96 
 0.00 , 2310.79 , 1577.00 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3983.49 , 2768.72 
 0.00 , 2992.17 , 2057.20 
 0.00 , 2837.14 , 1947.32 
 0.00 , 2912.56 , 2000.73 
 0.00 , 2968.95 , 2040.72 
 0.00 , 2969.90 , 2041.39 
 0.00 , 3074.39 , 2115.63 
 0.00 , 3224.30 , 2222.43 
2524.24 , 3188.76 , 4552.59 
 0.00 , 3276.15 , 2259.45 
 0.00 , 3242.76 , 2235.60 
 0.00 , 3020.57 , 2077.37 
 0.00 , 2993.54 , 2058.17 
 0.00 , 2973.81 , 2044.17 
 0.00 , 2957.50 , 2032.60 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1560.25 , 1056.21 
 0.00 , 1883.36 , 1279.38 
 0.00 , 1936.94 , 1316.54 
 0.00 , 1979.48 , 1346.07 
 0.00 , 2015.41 , 1371.03 
 0.00 , 2046.85 , 1392.90 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3710.31 , 2571.10 
2621.25 , 3569.56 , 4918.01 
 0.00 , 3469.55 , 2397.91 
 0.00 , 3317.57 , 2289.06 
 0.00 , 3143.34 , 2164.71 
 0.00 , 2917.55 , 2004.26 
 0.00 , 2786.59 , 1911.57 
 0.00 , 2904.77 , 1995.21 
 0.00 , 2984.04 , 2051.43 
 0.00 , 3053.64 , 2100.88 
 0.00 , 3002.59 , 2064.60 
 0.00 , 2822.35 , 1936.86 
 0.00 , 2793.22 , 1916.26 
 0.00 , 2821.62 , 1936.34 
 0.00 , 2805.05 , 1924.62 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1344.58 , 908.11 
 0.00 , 1880.07 , 1277.10 
 0.00 , 1989.97 , 1353.36 
 0.00 , 2088.95 , 1422.19 
 0.00 , 2181.44 , 1486.65 
 0.00 , 2270.06 , 1548.52 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3937.63 , 2735.46 
 0.00 , 2654.64 , 1818.44 
 0.00 , 2023.15 , 1376.42 
 0.00 , 1427.63 , 965.06 
 0.00 , 804.98 , 540.55 
 0.00 , 325.48 , 217.45 
 0.00 , 173.66 , 115.83 
 0.00 , 211.78 , 141.32 
2524.24 , 583.61 , 2738.77 
 0.00 , 1763.45 , 1196.38 
 0.00 , 2045.75 , 1392.13 
 0.00 , 2018.88 , 1373.45 
 0.00 , 2097.50 , 1428.15 
 0.00 , 2167.34 , 1476.81 
 0.00 , 2232.03 , 1521.96 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 344.82 , 230.42 
 0.00 , 1522.75 , 1030.41 
 0.00 , 1652.35 , 1119.67 
 0.00 , 1766.26 , 1198.32 
 0.00 , 1923.38 , 1307.13 
 0.00 , 2024.21 , 1377.16 
 0.00 , 6282.13 , 4480.00 
